date_column,order_status,missing_rows
order_approved_at,canceled,141
order_approved_at,created,5
order_approved_at,delivered,14
order_delivered_carrier_date,approved,2
order_delivered_carrier_date,canceled,550
order_delivered_carrier_date,created,5
order_delivered_carrier_date,delivered,2
order_delivered_carrier_date,invoiced,314
order_delivered_carrier_date,processing,301
order_delivered_carrier_date,unavailable,609
order_delivered_customer_date,approved,2
order_delivered_customer_date,canceled,619
order_delivered_customer_date,created,5
order_delivered_customer_date,delivered,8
order_delivered_customer_date,invoiced,314
order_delivered_customer_date,processing,301
order_delivered_customer_date,shipped,1107
order_delivered_customer_date,unavailable,609
