section,metric,value,details
delivered_lifecycle,delivered_missing_order_approved_at,14.0,share_of_delivered_orders=0.0145%
delivered_lifecycle,delivered_missing_order_delivered_carrier_date,2.0,share_of_delivered_orders=0.0021%
delivered_lifecycle,delivered_missing_order_delivered_customer_date,8.0,share_of_delivered_orders=0.0083%
delivered_lifecycle,delivered_orders_with_any_missing_lifecycle_date,23.0,total_delivered_orders=96478
temporal_integrity,approval_before_purchase,0.0,share_of_orders=0.0%
temporal_integrity,carrier_before_approval,1359.0,share_of_orders=1.3666%
temporal_integrity,customer_delivery_before_carrier,23.0,share_of_orders=0.0231%
temporal_integrity,customer_delivery_before_purchase,0.0,share_of_orders=0.0%
temporal_integrity,estimated_delivery_before_purchase,0.0,share_of_orders=0.0%
missing_product_metadata,products_with_all_core_metadata_missing,610.0,
missing_product_metadata,affected_products_with_sales,610.0,
missing_product_metadata,affected_order_item_rows,1603.0,
missing_product_metadata,affected_orders,1451.0,
missing_product_metadata,affected_item_sales_value,179535.28,share_of_total_item_sales=1.3209%
missing_product_metadata,affected_freight_value,28169.81,
category_translation,untranslated_categories,2.0,"pc_gamer, portateis_cozinha_e_preparadores_de_alimentos"
category_translation,products_in_untranslated_categories,13.0,
category_translation,orders_affected_by_untranslated_categories,22.0,
category_translation,item_sales_value_in_untranslated_categories,5514.48,share_of_total_item_sales=0.0406%
geolocation_join_risk,customer_base_rows,99441.0,
geolocation_join_risk,estimated_customer_rows_after_raw_geo_left_join,15083733.0,multiplication_factor=151.69x
geolocation_join_risk,estimated_customer_rows_after_exact_dedup_geo_left_join,10328006.0,multiplication_factor=103.86x
geolocation_join_risk,order_item_base_rows,112650.0,
geolocation_join_risk,estimated_order_item_rows_after_raw_geo_left_join,16252672.0,multiplication_factor=144.28x
geolocation_join_risk,estimated_order_item_rows_after_exact_dedup_geo_left_join,12241964.0,multiplication_factor=108.67x
geolocation_join_risk,maximum_raw_rows_per_zip_prefix,1146.0,
geolocation_join_risk,maximum_exact_dedup_rows_per_zip_prefix,779.0,
