vendor_id,vendor_name,total_claims,total_claim_amount,average_claim_amount,high_value_claims
VNDR00445,"Bass, Garcia and Garcia",23,661000.0,28739.13,0
VNDR00453,Burton PLC,18,635000.0,35277.78,2
VNDR00031,Johnson Ltd,25,608700.0,24348.0,0
VNDR00591,Hoffman-Roberts,21,598000.0,28476.19,0
VNDR00138,Hayden Inc,19,567200.0,29852.63,0
VNDR00579,Bullock-Flores,16,565400.0,35337.5,2
VNDR00325,Sanders-Stark,18,548100.0,30450.0,1
VNDR00339,Hickman-Mendoza,25,546300.0,21852.0,1
VNDR00425,Nguyen-Hess,24,542500.0,22604.17,0
VNDR00232,"Myers, Hayes and Jones",24,526600.0,21941.67,1
